TIC,CTOI,Flag,Othe name,Epoch (BTJD),Epoch (BTJD) uper,Epoch (BTJD) lerr,Period (d),Period uerr,Period derr,Rpl/Rs,Rpl/Rs uerr,Rpl/Rs derr,Rpl (R earth),Rpl (R earth) uerr,Rpl (R earth) derr,Impact parameter,Impact parameter uerr,Impact parameter derr,Duration (h),Duration (h) uerr,Duration (h) derr,Vmag,Photometry,Spectroscopy,Speckle,Comment
441765914,441765914.01,∗,TWOMASS 17253007+7552562,1769.6154,+0.0093,−0.0058,161.6,+1460.1,−58.2(s),0.0411,+0.0119,−0.0024,3.6,+1.01,−0.3,0.45,+0.48,−0.32,7.44,+1.08,−0.36,11.638,,,,
452920657,452920657.01,,TWOMASS 00332018+5906355,1810.5765,+0.003,−0.0031,53.2,+34.3,−29.0(s),0.135,+0.012,−0.016,9.71,+0.9,−1.16,0.73,+0.11,−0.48,4.6,+0.29,−0.26,14.167,SBIG(1),,,
455737331,455737331.01,,TYC 2779-00785-1,1780.7084,+0.0073,−0.008,50.4,+75.0,−17.6(s),0.0257,+0.002,−0.0016,3.05,+0.29,−0.24,0.43,+0.33,−0.29,6.6,+0.5,−0.43,10.189,SBIG(1),,Gemini,
456909420,456909420.01,,TYC 1208-01094-1,1779.4109,+0.0022,−0.0026,5.78,+5.95,−5.29(s),0.078,+0.045,−0.031,9.15,+5.27,−3.61,0.973,+0.063,−0.495,1.73,+0.28,−0.27,10.941,,,,
458451774,458451774.01,,TWOMASS 12551793+4431260,1917.1875,+0.0019,−0.0019,12.39,+83.97,−6.34(s),0.0752,+0.0211,−0.0054,3.33,+0.92,−0.26,0.61,+0.32,−0.43,2.08,+0.59,−0.19,13.713,,,,
48018596,48018596.01,,TYC 3548-00800-1,1713.4514,+0.0046,−0.0063,100.1145,+0.0021,−0.0018,0.049,+0.018,−0.0081,7.88,+2.9,−1.33,0.984,+0.027,−0.028,2.83,+0.29,−0.26,9.595,,NRES(1),Gemini,
53309262,53309262.01,,TWOMASS 07475406+5741549,1863.1133,+0.0061,−0.0064,294.8,+327.0,−96.0(s),0.1239,+0.0098,−0.0075,5.38,+0.46,−0.36,0.46,+0.28,−0.31,6.74,+0.62,−0.45,15.51,,,,
53843023,53843023.01,,TYC 6956-00758-1,1328.0335,+0.0057,−0.0054,202,+272.0,−189.0(s),0.058,+0.056,−0.02,5.14,+4.99,−1.77,0.962,+0.083,−0.597,4.25,+0.66,−0.72,11.571,,,,
55525572,55525572.01,∗,TYC 8876-01059-1,1454.6713,+0.0065,−0.0066,83.8951,+0.004,−0.004,0.0343,+0.0021,−0.001,7.31,+0.56,−0.46,0.43,+0.31,−0.29,13.54,+0.51,−0.3,10.358,,CHIRON(5),Gemini,Confirmed planet(Eisner et al. 2020b)
63698669,63698669.01,∗,TYC 6993-00729-1,1364.6226,+0.0067,−0.0074,73.6,+133.6,−26.8(s),0.0248,+0.0023,−0.0019,2.15,+0.25,−0.2,0.42,+0.35,−0.29,5.63,+0.57,−0.32,10.701,SBIG(1),,,
70887357,70887357.01,∗,TYC 5883-01412-1,1454.3341,+0.0015,−0.0016,56.1,+18.8,−15.3(s),0.0605,+0.0027,−0.0027,12.84,+0.9,−0.86,0.917,+0.016,−0.028,7.29,+0.19,−0.18,9.293,,,,
7422496,7422496.01,†,HIP 25359,1470.3625,+0.0023,−0.0031,61.4,+49.0,−16.7(s),0.0255,+0.0011,−0.001,2.44,+0.16,−0.15,0.37,+0.29,−0.25,5.89,+0.15,−0.15,9.36,,MINERVA(4),,SB 2 from MINERVA observations.
82452140,82452140.01,,TYC 3076-00921-1,1964.292,+0.011,−0.011,21.1338,+0.0066,−0.0052,0.0266,+0.0027,−0.0019,2.95,+0.34,−0.25,0.42,+0.36,−0.29,5.87,+0.94,−0.62,10.616,,,,
88840705,88840705.01,,TYC 3091-00808-1,2026.6489,+0.001,−0.001,260.6,+142.2,−87.6(s),0.109,+0.027,−0.023,9.98,+2.75,−2.28,1.001,+0.037,−0.042,4.72,+0.15,−0.13,9.443,,,,
91987762,91987762.01,∗,HIP 47288,1894.25381,+0.00047,−0.00051,10.51,+3.67,−3.48(s),0.05459,+0.00097,−0.00106,9.56,+0.52,−0.56,0.771,+0.033,−0.062,4.342,+0.063,−0.073,7.87,,NRES(4),Gemini,
95768667,95768667.01,,TYC 1434-00331-1,1918.3318,+0.0079,−0.0093,26.9,+72.3,−12.4(s),0.0282,+0.0031,−0.0022,3.54,+0.43,−0.32,0.48,+0.35,−0.33,5.4,+0.76,−0.64,10.318,,,,
