TIC ID,CTOI,TOI,Disposition,Has Time Series,Has Spectroscopy,Has Imaging,CTOI Notes,TOI Comments,Paper Comment,WTV Sectors,TFOPWG Disposition,TOI Master Priority,TOI Time Series Observations,TOI Spectroscopy Observations,TOI Imaging Observations,Paper Photometry,Paper Spectroscopy,Paper Speckle,TESS Mag,Transit Epoch (BTJD),Period (days),Depth ppm,Duration (hrs),Planet Radius (R_Earth),Stellar Distance (pc),Stellar Eff Temp (K),Approximate Absolute TESS Mag,Stellar Radius (R_Sun),RA,Dec,CTOI lastmod,TOI Date Modified
149601126,149601126.02,2525.02,PC,True,False,False,PHT candidate. Additional transit in the FFIs.,potential multi; CTOI from Planet Hunters,,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69,",PC,3,9,0,0,,,,13.4006,2123.2702000001445,49.23,14290.0,6.7,10.8,395.398,4944.0,5.415427658813814,0.824284,86.850974,-60.521308,2020-12-04 05:19:48,2022-12-14 12:09:24
155916612,155916612.01,,,False,False,False,Planet Hunters TESS candidate. Additional transits in the FFIs.,,,"16,23,24,50,",,,,,,,,,11.4403,1747.3229999998584,16.1783,4400.0,4.1,7.0,250.156,5668.0,4.449245380440109,0.959909,226.838801,46.798427,2022-06-22 01:18:32,
159159904,159159904.01,,,False,True,False,Planet Hunters TESS candidate. Single transit event.,,,"15,22,48,49,75,76,",,,,,,,NRES(2),,8.71483,1918.6099999998696,0.0,500.0,14.6,3.0,108.415,6324.0,3.5393831292764713,1.19798,199.253911,57.283724,2020-04-27 00:46:45,
160039081,160039081.01,2082.01,PC,True,True,True,Planet Hunters TESS candidate. Single transit event.,light curve severely contaminated by systematics,,"16,23,24,25,49,50,51,76,78,",PC,1,0,5,6,SBIG(1),NRES(1);SOPHIE(4),Gemini,7.8206,1752.9300000001676,0.0,500.0,4.8,2.4,63.7194,6004.0,3.799241611460303,1.1494,241.581203,53.514641,2020-01-24 09:59:56,2022-12-14 12:09:24
162631539,162631539.01,5724.01,PC,False,True,True,PHT candidate. Single transit event.,two transits two years apart; period is likely shorter than max period of ~697 days,,"23,24,25,50,51,52,77,78,79,",PC,1,0,2,2,,,,6.9014,1978.279360000044,,400.0,5.5,2.9,50.4126,6060.54,3.3887045175172,1.37496,245.779902,50.344188,2020-09-17 08:09:59,2022-12-14 12:09:24
166184426,166184426.01,1955.01,FP,True,True,True,PHT candidate.,two stars in the same pixel,,"11,38,64,",FP,5,7,1,1,,,,11.1825,1600.4399999999441,16.33,4000.0,1.1,,22.4731,3327.0,9.424185078484548,0.31097,206.105083,-40.336403,2020-05-25 00:29:16,2022-12-14 12:09:24
167661160,167661160.01,2479.01,PC,True,True,True,PHT candidate.,TFOP work in progress.,EB from MINERVA observations,"5,6,32,",PC,2,9,3,1,,NRES(9);MINERVA(4),,9.354,1442.0699999998324,36.8,1600.0,5.1,4.0,104.896,5363.1,4.250205362228068,1.20993,79.709348,-36.037694,2020-08-10 02:52:15,2022-12-14 12:09:24
170161682,170161682.01,,,False,False,False,PHT candidate. Note that the target it is a relatively crowded field.,,,"6,7,33,34,",,,,,,,,,12.3487,2213.680999999866,25.16,10000.0,9.0,,647.665,5844.0,3.291947858543823,1.61543,101.723618,-43.970685,2021-03-29 02:33:30,
172370679,172370679.01,1899.01,CP,False,False,True,PHT candidate. Single transit event.,alerted as single transit; now a duo-transit; CTOI from Planet Hunters; period updated to reflect period for TESS CP TOI-1899 b,Confirmed planet(Ca˜nas et al. 2020).,"14,15,41,54,55,75,81,82,",CP,3,0,0,2,,,,12.5826,1711.9799999999814,0.0,40000.0,4.5,,128.438,3854.0,7.039132328815065,0.617863,299.426847,40.143346,2020-05-16 02:52:00,2022-12-14 12:09:24
174302697,174302697.01,1896.01,PC,True,True,True,Planet Hunters TESS candidate. Single transit event.,Single transit; Rp based on first event is ~14 Re (DD); CTOI from Planet Hunters,,"16,17,57,",PC,3,0,4,4,SBIG(1),,,8.88374,1743.7269999999553,0.0,2000.0,5.0,10.0,169.851,6750.0,2.733399459359714,1.60572,352.17861,47.349521,2020-03-06 01:18:18,2022-12-14 12:09:24
179582003,179582003.01,4507.01,PC,False,True,True,PHT candidate.,large PC,,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,",PC,3,0,1,1,,,,10.2301,1518.469000000041,104.611,5500.0,,,178.26,6115.26,3.9748304890634616,1.97585,80.451368,-69.988217,2020-08-10 03:03:13,2022-12-14 12:09:24
188668950,188668950.01,5731.01,PC,False,True,False,PHT candidate. 3 transit events (2 in FFIs). 57.3 d is a possible period given the data but other periods are possible.,period likely 90 d based on transits in FFIs,,"17,20,24,26,40,47,50,51,52,53,57,60,74,77,78,79,80,",PC,3,0,2,0,,,,11.241,2400.620399999898,57.337,2580.0,5.8,4.3,109.835,4448.25,6.0372962281752685,0.767409,260.098822,52.433465,2022-01-18 05:27:56,2022-12-14 12:09:24
192415680,192415680.01,6041.01,PC,True,True,True,Planet Hunters TESS candidate. Single transit event.,actual period likely shorter than max period of ~1094 days,,"18,58,",PC,3,0,9,4,SBIG(1),SOPHIE(2),,9.2063,1769.0200000000186,0.0,3000.0,5.8,7.0,72.4731,5358.99,4.905415807793902,0.845239,46.061033,43.557667,2020-01-24 10:07:06,2023-01-26 12:09:41
192790476,192790476.01,2459.01,PC,True,True,True,PHT candidate. Single transit event.,potential L1 candidate; deep transit around ~2200 TBJD in SPOC multisector that may be another planet,,"5,6,32,33,",PC,2,2,2,1,,,,9.3951,1452.3300000000745,0.0,2200.0,3.6,3.5,36.6113,4195.0,6.577024249227593,0.675093,82.143332,-39.373046,2020-05-22 06:52:18,2022-12-14 12:09:24
198384864,198384864.01,,,False,False,False,PHT candidate.,,,"17,19,20,22,23,24,25,26,40,47,49,50,51,52,53,54,56,57,58,59,60,73,74,76,77,78,79,80,81,82,83,",,,,,,,,,9.75945,1846.5849999999627,157.6954,940.0,16.8,6.2,259.863,6218.0,2.6857277606277306,1.8473,257.751012,55.403101,2022-09-28 11:59:51,
206361691,206361691.01,,FP_CTOI,False,True,False,Planethunters-TESS candidate. Single Transit,,SB2 from CHIRON,"2,28,29,69,",,,,,,,CHIRON(2),,8.3408,1363.25,0.0,300.0,14.0,,98.2118,6002.0,3.3799816462478818,1.3949,356.628534,-48.958006,2020-01-16 01:52:32,
207501148,207501148.01,2320.01,FP,False,True,True,PHT candidate. Single transit event.,CTOI from Planet Hunters; Rp is at least 2x9.4Re; single transit,,"16,19,22,23,24,25,49,50,51,52,56,59,76,77,78,79,83,",FP,5,0,11,4,,,,9.85317,2007.7269999999553,,7800.0,4.6,12.8,167.542,5879.0,3.7325515227843367,1.23623,247.657124,56.399869,2020-09-03 09:47:23,2022-12-14 12:09:24
209006017,209006017.01,,,False,False,False,PHT candidate. Additional transit in FFIs at ~1649.52 TBJD.,,,"12,39,66,",,,,,,,,,11.1677,2376.089999999851,,5300.0,,13.0,631.754,8482.0,2.1649599981488414,1.6361,245.537293,-59.659689,2021-09-17 03:19:45,
209464063,209464063.01,5678.01,PC,False,False,True,PHT candidate. Second transit close data gap.,CTOI from Nora Eisner; transit close to data gap,,"4,30,31,",PC,3,0,0,1,,,,10.6691,1424.6899999999441,119.335,2400.0,8.8,5.0,165.393,5516.0,4.576514376145454,0.942022,47.384187,-34.198481,2021-03-04 05:45:30,2022-12-14 12:09:24
219466784,219466784.01,2007.01,PC,False,True,True,PHT candidate. Single transit event.,single transit; ~3 Re; multiple stars in pixel; CTOI from Planet Hunters,,"14,15,20,21,22,40,41,47,48,60,74,75,",PC,2,0,3,3,,,,10.199,1872.7000000001863,0.0,1000.0,9.5,3.0,115.409,5249.0,4.887801610237311,0.895408,209.858415,74.151228,2020-05-16 03:51:13,2022-12-14 12:09:24
